epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,615.978,1.62422,2.11105,0.01264,0.91566,0.87427,0.92591,0.52237,1.56704,0.64826,0.00908,0.00999137,0.00333046,0.00999137,0.00333046,0.00999137,0.00333046,0.00999137,0.00333046
2,1200.78,1.55944,1.10672,0.01219,0.89986,0.86856,0.92664,0.5364,1.51398,0.64121,0.00895,0.0199778,0.00665927,0.0199778,0.00665927,0.0199778,0.00665927,0.0199778,0.00665927
3,1786.26,1.64306,1.24358,0.01327,0.84706,0.82839,0.89684,0.51719,1.55769,0.75369,0.0089,0.02991,0.00997002,0.02991,0.00997002,0.02991,0.00997002,0.02991,0.00997002
4,2370.92,1.65552,1.23426,0.0134,0.91038,0.8684,0.93349,0.5582,1.44505,0.61488,0.00786,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
5,2957.95,1.5873,1.12712,0.01253,0.91203,0.90096,0.9455,0.58448,1.35584,0.55811,0.00733,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
6,3544.07,1.54504,1.05106,0.01202,0.92662,0.90699,0.95661,0.60912,1.33829,0.51456,0.00693,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
7,4129.6,1.51861,1.00745,0.01174,0.92314,0.91736,0.95704,0.61855,1.29759,0.50486,0.00662,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
8,4715.72,1.50695,0.97463,0.01155,0.93688,0.92389,0.96456,0.62734,1.27868,0.47318,0.00647,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
9,5301.61,1.48688,0.95385,0.01126,0.9357,0.93108,0.96751,0.63797,1.25705,0.45367,0.00636,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
10,5890.12,1.47377,0.92304,0.0111,0.94062,0.93607,0.96801,0.64288,1.24842,0.45161,0.00618,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
11,6480.05,1.46872,0.91678,0.01112,0.93571,0.92803,0.96616,0.63944,1.25004,0.45883,0.0061,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
12,7074.52,1.45546,0.89997,0.01094,0.93448,0.93663,0.96767,0.64609,1.23355,0.45176,0.00599,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
13,7668.55,1.44784,0.8865,0.0108,0.9403,0.93678,0.96911,0.65156,1.22553,0.44265,0.00595,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
14,8255.81,1.43989,0.87015,0.01072,0.94003,0.93754,0.96915,0.65283,1.22245,0.44004,0.00591,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
15,8841.11,1.43366,0.86033,0.01068,0.94527,0.9308,0.96999,0.65378,1.21989,0.43658,0.00588,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
16,9427.5,1.42823,0.85262,0.01054,0.9496,0.93005,0.97112,0.65529,1.21757,0.42997,0.00586,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
17,10013,1.4207,0.8428,0.01053,0.95332,0.93368,0.972,0.65666,1.21526,0.42273,0.00584,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
18,10594.6,1.41083,0.83528,0.01031,0.95725,0.93379,0.97267,0.65752,1.2135,0.41826,0.00581,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
19,11180.6,1.40313,0.82641,0.01043,0.95149,0.93616,0.97227,0.65748,1.21184,0.41949,0.00579,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
20,11767,1.39873,0.81054,0.01025,0.95059,0.93917,0.97236,0.65889,1.21017,0.41731,0.00579,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596,0.0232379,0.00774596
21,12351.4,1.39514,0.80696,0.01021,0.94934,0.93673,0.97245,0.6601,1.20765,0.42074,0.00576,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,12936.3,1.38811,0.79696,0.01024,0.94467,0.93271,0.97124,0.65918,1.20547,0.42601,0.00574,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
23,13526,1.37741,0.78538,0.01008,0.93291,0.93471,0.96972,0.65876,1.20288,0.43542,0.00573,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
24,14109.5,1.36922,0.76803,0.00986,0.92938,0.93281,0.96793,0.6581,1.20037,0.44307,0.00571,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
25,14693.4,1.36205,0.77564,0.00984,0.93071,0.9302,0.9678,0.65788,1.19876,0.4456,0.0057,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
26,15277.2,1.35528,0.76625,0.00982,0.93462,0.9264,0.96753,0.6571,1.19663,0.44496,0.00569,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
27,15862.4,1.34628,0.75365,0.00969,0.93144,0.92832,0.96768,0.65711,1.19339,0.44436,0.00567,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
28,16446.8,1.34153,0.74178,0.00963,0.93398,0.93194,0.96822,0.65743,1.19049,0.44103,0.00564,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
29,17030,1.32754,0.72535,0.0095,0.94406,0.93047,0.96876,0.65791,1.18845,0.43454,0.00563,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
30,17619.4,1.32496,0.7236,0.00949,0.94887,0.92982,0.97,0.66033,1.18608,0.42996,0.00562,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
31,18218.2,1.3128,0.70664,0.00939,0.94724,0.93686,0.97079,0.66231,1.18461,0.42539,0.00561,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,18821.1,1.31002,0.69994,0.00939,0.94964,0.93455,0.97051,0.66317,1.1835,0.42276,0.00561,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
33,19420.2,1.29947,0.69951,0.00922,0.94703,0.93569,0.97063,0.66412,1.18174,0.42139,0.0056,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
34,20020.9,1.28839,0.69169,0.00912,0.94696,0.93493,0.97164,0.66516,1.18061,0.42079,0.00558,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
35,20602.8,1.28488,0.67967,0.00908,0.94617,0.93901,0.9716,0.66634,1.1804,0.41525,0.00557,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
36,21183.2,1.273,0.66694,0.00894,0.94599,0.94644,0.9724,0.66764,1.18021,0.40978,0.00556,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
37,21764.8,1.26487,0.66471,0.00882,0.94248,0.94776,0.97266,0.66907,1.17851,0.40926,0.00555,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
38,22346.6,1.25495,0.65735,0.00878,0.9462,0.94833,0.97341,0.67028,1.17791,0.40502,0.00554,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608,0.00982824,0.00327608
39,22929.6,1.24351,0.6375,0.00865,0.94814,0.94811,0.97354,0.6709,1.17655,0.40344,0.00553,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
40,23510.2,1.23376,0.62616,0.00853,0.95004,0.94863,0.97445,0.67251,1.17472,0.39832,0.0055,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
41,24092.6,1.22498,0.6297,0.00841,0.95372,0.94575,0.97494,0.6737,1.17366,0.39469,0.00549,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
42,24672.3,1.21593,0.61295,0.00836,0.95564,0.94646,0.97539,0.67419,1.17201,0.39206,0.00548,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404,0.00706211,0.00235404
43,25252.3,1.20337,0.60185,0.00815,0.95244,0.95287,0.97567,0.67485,1.17076,0.38838,0.00546,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
44,25838.1,1.19102,0.60172,0.00815,0.95367,0.95532,0.97624,0.67586,1.17023,0.38444,0.00545,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486,0.00580459,0.00193486
45,26422.3,1.18323,0.59205,0.00802,0.95658,0.95548,0.97666,0.67709,1.16903,0.38026,0.00544,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
46,27014.8,1.10412,0.37014,0.00799,0.95614,0.95581,0.97669,0.67759,1.16791,0.37893,0.00542,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
47,27607.4,1.08377,0.35871,0.00772,0.95935,0.95439,0.97676,0.67828,1.16745,0.37713,0.00541,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
48,28198.2,1.06575,0.35641,0.0075,0.95841,0.95537,0.97679,0.67882,1.16687,0.37695,0.0054,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313,0.00360938,0.00120313
49,28790.3,1.05179,0.34334,0.00733,0.95955,0.95477,0.97704,0.67933,1.16616,0.37484,0.00538,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
50,29399.4,1.03772,0.33585,0.00713,0.96167,0.95196,0.97741,0.6797,1.16545,0.37536,0.00538,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581,0.00269574,0.000898581
51,30008.6,1.02129,0.32463,0.00698,0.96408,0.95358,0.97775,0.68,1.16576,0.37196,0.00537,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
52,30614.4,1.00694,0.32094,0.00679,0.96591,0.95325,0.97793,0.68038,1.16568,0.3706,0.00536,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
